"","Comparison..group1.group2.","Group","ProteinGroups","AVG.Log2.Ratio","Absolute.AVG.Log2.Ratio","Pvalue","Qvalue","X..of.Ratios","UniProtIds","Genes","ProteinDescriptions","ProteinNames","X..Unique.Total.Peptides","X..Change","Ratio","Condition.Numerator","Condition.Denominator","GO.Cellular.Component","GO.Molecular.Function","GO.Biological.Process","Label","minuslogqval","Color"
"11","Injured / Non-injured","Q8JZN7","Q8JZN7",-1.010747622,1.010747622,4.76e-07,4.33e-07,16,"Q8JZN7","Rhot2","Mitochondrial Rho GTPase 2","MIRO2_MOUSE",8,-50.3711002,0.496288998,"Injured","Non-injured","mitochondrion,mitochondrial inner membrane,membrane,integral component of mitochondrial outer membrane,extracellular exosome","GTPase activity,calcium ion binding,GTP binding","cellular homeostasis,mitochondrion transport along microtubule,mitochondrial outer membrane permeabilization",NA,6.36351210364663,"Blue"
"12","Injured / Non-injured","P63030","P63030",-1.817901034,1.817901034,6.16e-07,5.26e-07,16,"P63030","Mpc1","Mitochondrial pyruvate carrier 1","MPC1_MOUSE",6,-71.63666728,0.283633327,"Injured","Non-injured","mitochondrion,mitochondrial inner membrane,integral component of mitochondrial inner membrane","pyruvate transmembrane transporter activity","mitochondrial acetyl-CoA biosynthetic process from pyruvate,mitochondrial pyruvate transmembrane transport,cellular response to leukemia inhibitory factor",NA,6.27901425584626,"Blue"
"13","Injured / Non-injured","Q8BG51;Q8BG51-2;Q8BG51-3;Q8BG51-4","Q8BG51;Q8BG51-2;Q8BG51-3;Q8BG51-4",-1.106146557,1.106146557,7.08e-07,5.93e-07,16,"Q8BG51;Q8BG51-2;Q8BG51-3;Q8BG51-4","Rhot1","Mitochondrial Rho GTPase 1;Isoform 2 of Mitochondrial Rho GTPase 1;Isoform 3 of Mitochondrial Rho GTPase 1;Isoform 4 of Mitochondrial Rho GTPase 1","MIRO1_MOUSE",8,-53.5466855,0.464533145,"Injured","Non-injured","mitochondrion,membrane,integral component of mitochondrial outer membrane;;;","GTPase activity,calcium ion binding,GTP binding;;;","cellular homeostasis,establishment of mitochondrion localization by microtubule attachment,regulation of neurotransmitter secretion,mitochondrion transport along microtubule,mitochondrial outer membrane permeabilization,regulation of organelle transport along microtubule;;;",NA,6.22694530663574,"Blue"
"14","Injured / Non-injured","Q63844","Q63844",1.150554888,1.150554888,8.64e-07,6.98e-07,16,"Q63844","Mapk3","Mitogen-activated protein kinase 3","MK03_MOUSE",11,121.9992631,2.219992631,"Injured","Non-injured","nucleus,nuclear envelope,nucleoplasm,cytoplasm,mitochondrion,early endosome,late endosome,Golgi apparatus,cytosol,cytoskeleton,plasma membrane,caveola,focal adhesion,pseudopodium,protein complex,extracellular exosome","phosphotyrosine binding,protein kinase activity,protein serine/threonine kinase activity,MAP kinase activity,MAP kinase kinase activity,protein binding,ATP binding,phosphatase binding,identical protein binding,scaffold protein binding","activation of MAPK activity,positive regulation of protein phosphorylation,positive regulation of cytokine secretion involved in immune response,transcription, DNA-templated,protein complex assembly,protein phosphorylation,apoptotic process,cellular response to DNA damage stimulus,DNA damage induced protein phosphorylation,cell cycle,signal transduction,response to toxic substance,animal organ morphogenesis,positive regulation of gene expression,positive regulation of macrophage chemotaxis,neural crest cell development,phosphorylation,peptidyl-serine phosphorylation,sensory perception of pain,arachidonic acid metabolic process,regulation of ossification,BMP signaling pathway,regulation of cellular pH,thyroid gland development,positive regulation of cyclase activity,lipopolysaccharide-mediated signaling pathway,positive regulation of telomere maintenance via telomerase,response to lipopolysaccharide,regulation of stress-activated MAPK cascade,positive regulation of histone phosphorylation,cellular response to amino acid starvation,cellular response to reactive oxygen species,positive regulation of histone acetylation,peptidyl-tyrosine autophosphorylation,outer ear morphogenesis,response to exogenous dsRNA,positive regulation of translation,positive regulation of transcription from RNA polymerase II promoter,thymus development,regulation of sequence-specific DNA binding transcription factor activity,cartilage development,stress-activated MAPK cascade,regulation of cytoskeleton organization,positive regulation of telomerase activity,Bergmann glial cell differentiation,face development,lung morphogenesis,trachea formation,cardiac neural crest cell development involved in heart development,ERK1 and ERK2 cascade,positive regulation of ERK1 and ERK2 cascade,interleukin-1-mediated signaling pathway,response to epidermal growth factor,cellular response to mechanical stimulus,cellular response to cadmium ion,caveolin-mediated endocytosis,regulation of Golgi inheritance,cellular response to dopamine,positive regulation of telomere capping,positive regulation of xenophagy,positive regulation of metallopeptidase activity,regulation of early endosome to late endosome transport,negative regulation of apolipoprotein binding",NA,6.15614457737684,"Red"
"15","Injured / Non-injured","Q9CWE0","Q9CWE0",-1.137654885,1.137654885,9.28e-07,7.37e-07,16,"Q9CWE0","Mtfr1l","Mitochondrial fission regulator 1-like","MFR1L_MOUSE",3,-54.55022318,0.454497768,"Injured","Non-injured","mitochondrion","molecular_function","mitochondrial fission,aerobic respiration",NA,6.13253251214095,"Blue"
"16","Injured / Non-injured","Q9CQV7","Q9CQV7",-1.518394036,1.518394036,1.16e-06,8.67e-07,16,"Q9CQV7","Dnajc19","Mitochondrial import inner membrane translocase subunit TIM14","TIM14_MOUSE",5,-65.09257208,0.349074279,"Injured","Non-injured","mitochondrion,mitochondrial inner membrane,integral component of membrane,protein complex","molecular_function","visual perception,protein transport,genitalia development",NA,6.06198090252379,"Blue"
"17","Injured / Non-injured","Q9CXT8","Q9CXT8",-1.032588098,1.032588098,1.52e-06,1.07e-06,16,"Q9CXT8","Pmpcb","Mitochondrial-processing peptidase subunit beta","MPPB_MOUSE",19,-51.11675708,0.488832429,"Injured","Non-injured","mitochondrion,mitochondrial inner membrane,mitochondrial respiratory chain complex III,mitochondrial matrix","metalloendopeptidase activity,zinc ion binding","mitochondrial electron transport, ubiquinol to cytochrome c,aerobic respiration,protein processing",NA,5.97061622231479,"Blue"
"18","Injured / Non-injured","Q9Z2Z6","Q9Z2Z6",-1.210880773,1.210880773,1.52e-06,1.07e-06,16,"Q9Z2Z6","Slc25a20","Mitochondrial carnitine/acylcarnitine carrier protein","MCAT_MOUSE",17,-56.79952062,0.432004794,"Injured","Non-injured","mitochondrion,mitochondrial inner membrane,cytosol,integral component of membrane","carnitine:acyl carnitine antiporter activity,carnitine transmembrane transporter activity,acyl carnitine transmembrane transporter activity","mitochondrial transport,carnitine transport,carnitine transmembrane transport,acyl carnitine transmembrane transport",NA,5.97061622231479,"Blue"
"19","Injured / Non-injured","P62075","P62075",-0.932479772,0.932479772,1.56e-06,1.1e-06,16,"P62075","Timm13","Mitochondrial import inner membrane translocase subunit Tim13","TIM13_MOUSE",7,-47.60430345,0.523956966,"Injured","Non-injured","fibrillar center,mitochondrion,mitochondrial inner membrane,mitochondrial intermembrane space protein transporter complex","protein transporter activity,metal ion binding","protein import into mitochondrial inner membrane,chaperone-mediated protein transport",NA,5.95860731484177,"Blue"
"20","Injured / Non-injured","Q9D6M3","Q9D6M3",-0.983607649,0.983607649,3e-06,1.88e-06,16,"Q9D6M3","Slc25a22","Mitochondrial glutamate carrier 1","GHC1_MOUSE",5,-49.42864458,0.505713554,"Injured","Non-injured","mitochondrion,mitochondrial inner membrane,integral component of membrane","L-glutamate transmembrane transporter activity,high-affinity glutamate transmembrane transporter activity","mitochondrial transport,L-glutamate transport,L-glutamate transmembrane transport",NA,5.72584215073632,"Blue"
"21","Injured / Non-injured","Q9QZD8","Q9QZD8",-1.091152281,1.091152281,3.07e-06,1.92e-06,16,"Q9QZD8","Slc25a10","Mitochondrial dicarboxylate carrier","DIC_MOUSE",18,-53.06136743,0.469386326,"Injured","Non-injured","nucleus,nucleoplasm,mitochondrion,mitochondrial inner membrane,integral component of membrane","phosphate ion transmembrane transporter activity,sulfate transmembrane transporter activity,thiosulfate transmembrane transporter activity,oxaloacetate transmembrane transporter activity,malate transmembrane transporter activity,succinate transmembrane transporter activity,secondary active transmembrane transporter activity,antiporter activity,phosphate transmembrane transporter activity","mitochondrial transport,sulfate transport,thiosulfate transport,oxaloacetate transport,phosphate ion transmembrane transport,succinate transmembrane transport,malate transmembrane transport,oxaloacetate(2-) transmembrane transport,sulfate transmembrane transport",NA,5.71669877129645,"Blue"
"22","Injured / Non-injured","Q9D880","Q9D880",-1.131201337,1.131201337,4.67e-06,2.74e-06,16,"Q9D880","Timm50","Mitochondrial import inner membrane translocase subunit TIM50","TIM50_MOUSE",8,-54.34645917,0.456535408,"Injured","Non-injured","nucleoplasm,mitochondrion,mitochondrial inner membrane,mitochondrial inner membrane presequence translocase complex,integral component of membrane,nuclear speck","phosphoprotein phosphatase activity,protein serine/threonine phosphatase activity,protein tyrosine phosphatase activity,interleukin-2 receptor binding,ribonucleoprotein complex binding","release of cytochrome c from mitochondria,protein dephosphorylation,mitochondrial membrane organization,protein import into mitochondrial matrix,peptidyl-tyrosine dephosphorylation",NA,5.56224943717961,"Blue"
"23","Injured / Non-injured","Q8VCF0","Q8VCF0",-0.6240178,0.6240178,4.71e-06,2.76e-06,16,"Q8VCF0","Mavs","Mitochondrial antiviral-signaling protein","MAVS_MOUSE",6,-35.11386223,0.648861378,"Injured","Non-injured","mitochondrion,mitochondrial outer membrane,peroxisome,peroxisomal membrane,integral component of membrane,mitochondrial membrane","signal transducer activity,protein binding,protein kinase binding,CARD domain binding","positive regulation of protein phosphorylation,activation of innate immune response,positive regulation of defense response to virus by host,signal transduction,negative regulation of type I interferon production,positive regulation of type I interferon production,positive regulation of interferon-alpha production,positive regulation of interferon-beta production,positive regulation of interleukin-8 production,positive regulation of tumor necrosis factor production,positive regulation of protein import into nucleus, translocation,positive regulation of interferon-beta secretion,RIG-I signaling pathway,defense response to bacterium,positive regulation of transcription factor import into nucleus,positive regulation of I-kappaB kinase/NF-kappaB signaling,negative regulation of viral genome replication,innate immune response,positive regulation of transcription from RNA polymerase II promoter,positive regulation of sequence-specific DNA binding transcription factor activity,defense response to virus,positive regulation of type I interferon-mediated signaling pathway,positive regulation of response to cytokine stimulus,cellular response to exogenous dsRNA,positive regulation of chemokine (C-C motif) ligand 5 production,positive regulation of IP-10 production,regulation of peroxisome organization,positive regulation of interferon-alpha secretion,positive regulation of tumor necrosis factor secretion,positive regulation of interleukin-6 secretion",NA,5.55909091793478,"Blue"
"24","Injured / Non-injured","A0A140LHA2;Q9WVA3","A0A140LHA2;Q9WVA3",1.118083761,1.118083761,5.43e-06,3.09e-06,16,"A0A140LHA2;Q9WVA3","Bub3","Mitotic checkpoint protein BUB3","A0A140LHA2_MOUSE;BUB3_MOUSE",11,117.0584762,2.170584762,"Injured","Non-injured",";kinetochore,condensed chromosome kinetochore,nucleoplasm,mitotic checkpoint complex,bub1-bub3 complex",";ubiquitin binding",";mitotic sister chromatid segregation,chromosome segregation,mitotic spindle assembly checkpoint,attachment of spindle microtubules to kinetochore,cell division,meiotic cell cycle,regulation of chromosome segregation",NA,5.51004152057517,"Red"
"25","Injured / Non-injured","Q8BGA9","Q8BGA9",-1.413556102,1.413556102,5.84e-06,3.28e-06,16,"Q8BGA9","Oxa1l","Mitochondrial inner membrane protein OXA1L","OXA1L_MOUSE",2,-62.46147424,0.375385258,"Injured","Non-injured","mitochondrion,mitochondrial inner membrane,mitochondrial membrane,integral component of mitochondrial membrane,protein complex","protein homodimerization activity,mitochondrial ribosome binding","aerobic respiration,negative regulation of ATPase activity,mitochondrial respiratory chain complex I assembly,mitochondrial proton-transporting ATP synthase complex assembly,protein insertion into membrane,protein tetramerization,negative regulation of oxidoreductase activity,mitochondrial respiratory chain complex I biogenesis",NA,5.48412615628832,"Blue"
"26","Injured / Non-injured","Q9CZW5","Q9CZW5",-0.726086757,0.726086757,7.2e-06,3.87e-06,16,"Q9CZW5","Tomm70","Mitochondrial import receptor subunit TOM70","TOM70_MOUSE",17,-39.54585176,0.604541482,"Injured","Non-injured","mitochondrion,mitochondrial outer membrane,membrane,integral component of membrane,extracellular exosome","protein binding","",NA,5.41228903498109,"Blue"
"27","Injured / Non-injured","A0A0A6YVZ8;A0A0A6YW53;A0A0A6YWM8;A0A0A6YWR8;B2RQ80;B2RUE8;B7ZNR9;B9EKN8;E0CXD6;E0CY98;E0CZD7;E0CZF8;E9PUL9;E9PVG7;F7AMS7;F8VPL5;G3X9G2;P83510;P83510-2;P97820;Q5SXG1;Q5SXG3;Q9JM52;Q9JM52-2;Q9JM52-3","A0A0A6YVZ8;A0A0A6YW53;A0A0A6YWM8;A0A0A6YWR8;B2RQ80;B2RUE8;B7ZNR9;B9EKN8;E0CXD6;E0CY98;E0CZD7;E0CZF8;E9PUL9;E9PVG7;F7AMS7;F8VPL5;G3X9G2;P83510;P83510-2;P97820;Q5SXG1;Q5SXG3;Q9JM52;Q9JM52-2;Q9JM52-3",1.034147097,1.034147097,8.76e-06,4.53e-06,16,"A0A0A6YVZ8;A0A0A6YW53;A0A0A6YWM8;A0A0A6YWR8;B2RQ80;B2RUE8;B7ZNR9;B9EKN8;E0CXD6;E0CY98;E0CZD7;E0CZF8;E9PUL9;E9PVG7;F7AMS7;F8VPL5;G3X9G2;P83510;P83510-2;P97820;Q5SXG1;Q5SXG3;Q9JM52;Q9JM52-2;Q9JM52-3","Map4k4;Map4k4;Map4k4;Map4k4;Tnik;Map4k4;Map4k4;Tnik;Tnik;Tnik;Tnik;Tnik;Tnik;Map4k4;Mink1;Map4k4;Mink1;Tnik;Tnik;Map4k4;Mink1;Mink1;Mink1;Mink1;Mink1","Mitogen-activated protein kinase kinase kinase kinase 4 (Fragment);Mitogen-activated protein kinase kinase kinase kinase 4;Mitogen-activated protein kinase kinase kinase kinase 4;Mitogen-activated protein kinase kinase kinase kinase 4;Tnik protein;Map4k4 protein;Map4k4 protein;TRAF2 and NCK interacting kinase;Traf2 and NCK-interacting protein kinase;Traf2 and NCK-interacting protein kinase;Traf2 and NCK-interacting protein kinase;Traf2 and NCK-interacting protein kinase;Traf2 and NCK-interacting protein kinase;Mitogen-activated protein kinase kinase kinase kinase 4;Misshapen-like kinase 1 (Fragment);Mitogen-activated protein kinase kinase kinase kinase 4;Misshapen-like kinase 1;Traf2 and NCK-interacting protein kinase;Isoform 2 of Traf2 and NCK-interacting protein kinase;Mitogen-activated protein kinase kinase kinase kinase 4;Misshapen-like kinase 1;Misshapen-like kinase 1;Misshapen-like kinase 1;Isoform 1 of Misshapen-like kinase 1;Isoform 3 of Misshapen-like kinase 1","A0A0A6YVZ8_MOUSE;A0A0A6YW53_MOUSE;A0A0A6YWM8_MOUSE;A0A0A6YWR8_MOUSE;B2RQ80_MOUSE;B2RUE8_MOUSE;B7ZNR9_MOUSE;B9EKN8_MOUSE;E0CXD6_MOUSE;E0CY98_MOUSE;E0CZD7_MOUSE;E0CZF8_MOUSE;E9PUL9_MOUSE;E9PVG7_MOUSE;F7AMS7_MOUSE;F8VPL5_MOUSE;G3X9G2_MOUSE;TNIK_MOUSE;TNIK_MOUSE;M4K4_MOUSE;Q5SXG1_MOUSE;Q5SXG3_MOUSE;MINK1_MOUSE;MINK1_MOUSE;MINK1_MOUSE",2,104.7902594,2.047902594,"Injured","Non-injured",";;;;;;;;;;;;;;;;;nucleus,nucleoplasm,cytoplasm,cytosol,cytoskeleton,apical plasma membrane,perinuclear region of cytoplasm,recycling endosome,extracellular exosome;;cytoplasm;;;cytoplasm,Golgi apparatus,postsynaptic density,cell junction,axon,dendrite,postsynaptic membrane,extracellular exosome;;",";;;;;;;;;;;;;;;;;protein kinase activity,protein serine/threonine kinase activity,protein binding,ATP binding,MAP kinase kinase kinase kinase activity;;creatine kinase activity,protein serine/threonine kinase activity,protein binding,ATP binding,MAP kinase kinase kinase kinase activity;;;protein serine/threonine kinase activity,ATP binding,MAP kinase kinase kinase kinase activity;;",";;;;;;;;;;;;;;;;;activation of MAPKKK activity,positive regulation of protein phosphorylation,protein phosphorylation,cytoskeleton organization,activation of JNKK activity,regulation of mitotic cell cycle,Wnt signaling pathway,microvillus assembly,stress-activated protein kinase signaling cascade,actin cytoskeleton reorganization,intracellular signal transduction,regulation of apoptotic process,protein autophosphorylation,neuron projection morphogenesis,regulation of dendrite morphogenesis,protein localization to plasma membrane;;MAPK cascade,activation of MAPKKK activity,protein phosphorylation,response to stress,regulation of mitotic cell cycle,stress-activated protein kinase signaling cascade,intracellular signal transduction,regulation of apoptotic process,negative regulation of apoptotic process,regulation of JNK cascade,neuron projection morphogenesis;;;MAPK cascade,activation of MAPKKK activity,regulation of cell-matrix adhesion,protein phosphorylation,response to stress,chemical synaptic transmission,multicellular organism development,regulation of mitotic cell cycle,regulation of cell-cell adhesion,regulation of cell migration,stress-activated protein kinase signaling cascade,actin cytoskeleton reorganization,intracellular signal transduction,regulation of apoptotic process,negative thymic T cell selection,positive regulation of JNK cascade,protein autophosphorylation,neuron projection morphogenesis,dendrite morphogenesis,regulation of alpha-amino-3-hydroxy-5-methyl-4-isoxazole propionate selective glutamate receptor activity;;",NA,5.34390179798717,"Red"
"28","Injured / Non-injured","Q9DCC8","Q9DCC8",-1.45579231,1.45579231,9.48e-06,4.85e-06,16,"Q9DCC8","Tomm20","Mitochondrial import receptor subunit TOM20 homolog","TOM20_MOUSE",2,-63.54451779,0.364554822,"Injured","Non-injured","mitochondrion,mitochondrial envelope,mitochondrial outer membrane,mitochondrial outer membrane translocase complex,extracellular matrix,integral component of mitochondrial outer membrane,ER-mitochondrion membrane contact site","P-P-bond-hydrolysis-driven protein transmembrane transporter activity,mitochondrion targeting sequence binding,unfolded protein binding,protein channel activity","protein targeting to mitochondrion,tRNA import into mitochondrion,protein import into mitochondrial matrix,mitochondrial outer membrane translocase complex assembly",NA,5.31425826139774,"Blue"
"29","Injured / Non-injured","Q9CXU4;Q9WTQ8","Q9CXU4;Q9WTQ8",-0.684685023,0.684685023,1.76e-05,8.09e-06,16,"Q9CXU4;Q9WTQ8","Timm23","MCG11298;Mitochondrial import inner membrane translocase subunit Tim23","Q9CXU4_MOUSE;TIM23_MOUSE",3,-37.78583586,0.622141641,"Injured","Non-injured",";mitochondrion,mitochondrial inner membrane,mitochondrial inner membrane presequence translocase complex,mitochondrial intermembrane space,integral component of mitochondrial inner membrane",";protein channel activity,P-P-bond-hydrolysis-driven protein transmembrane transporter activity",";protein import into mitochondrial matrix",NA,5.09205147838773,"Blue"
"30","Injured / Non-injured","Q9D023","Q9D023",-1.354877689,1.354877689,4.41e-05,1.78e-05,16,"Q9D023","Mpc2","Mitochondrial pyruvate carrier 2","MPC2_MOUSE",8,-60.90320338,0.390967966,"Injured","Non-injured","nucleus,mitochondrion,integral component of mitochondrial inner membrane","pyruvate transmembrane transporter activity","positive regulation of insulin secretion involved in cellular response to glucose stimulus,mitochondrial acetyl-CoA biosynthetic process from pyruvate,mitochondrial pyruvate transmembrane transport",NA,4.74957999769111,"Blue"
"31","Injured / Non-injured","Q9CYG7","Q9CYG7",1.388568829,1.388568829,7.55e-05,2.82e-05,16,"Q9CYG7","Tomm34","Mitochondrial import receptor subunit TOM34","TOM34_MOUSE",10,161.8188245,2.618188245,"Injured","Non-injured","nucleus,nucleoplasm,mitochondrion,mitochondrial outer membrane,cytosol,membrane","protein binding,heat shock protein binding","protein targeting to mitochondrion",NA,4.54975089168064,"Red"
"32","Injured / Non-injured","Q9D6Y7;Q9D6Y7-2","Q9D6Y7;Q9D6Y7-2",-0.946086647,0.946086647,8.77e-05,3.21e-05,16,"Q9D6Y7;Q9D6Y7-2","Msra","Mitochondrial peptide methionine sulfoxide reductase;Isoform 2 of Mitochondrial peptide methionine sulfoxide reductase","MSRA_MOUSE",12,-48.09615386,0.519038461,"Injured","Non-injured","nucleoplasm,cytoplasm,mitochondrion,cytosol,actin cytoskeleton,membrane,extracellular exosome;","peptide-methionine (S)-S-oxide reductase activity;","oxidation-reduction process;",NA,4.49349496759513,"Blue"
"33","Injured / Non-injured","Q9WVA2","Q9WVA2",-0.785212172,0.785212172,0.000153882,5.21e-05,16,"Q9WVA2","Timm8a1","Mitochondrial import inner membrane translocase subunit Tim8 A","TIM8A_MOUSE",5,-41.97333868,0.580266613,"Injured","Non-injured","mitochondrion,mitochondrial inner membrane,mitochondrial intermembrane space","metal ion binding","protein transport",NA,4.28316227670048,"Blue"
"34","Injured / Non-injured","Q8VEA4","Q8VEA4",-1.291178411,1.291178411,0.000199642,6.54e-05,16,"Q8VEA4","Chchd4","Mitochondrial intermembrane space import and assembly protein 40","MIA40_MOUSE",4,-59.13828706,0.408617129,"Injured","Non-injured","mitochondrion,mitochondrial intermembrane space","protein binding,protein disulfide oxidoreductase activity","protein maturation by protein folding,cellular response to oxidative stress,mitochondrial DNA repair,protein import into mitochondrial intermembrane space,regulation of protein export from nucleus,'de novo' posttranslational protein folding,oxidation-reduction process,establishment of protein localization to mitochondrion,positive regulation of cellular respiration,cellular response to leukemia inhibitory factor",NA,4.18442225167573,"Blue"
