Significantly Down-regulated protein groups: Injured vs Non-injured No Diet Kidney Lysate,,,,,,,,,,,,,,
897 Significantly down-regulated protein groups (log2(FC) <= -0.58 & q-value <= 0.01) ,,,,,,,,,,,,,,
120 min DIA sample files  were searched with 120 min Deep Library in Spectronaut v16,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
UniProtIds,Genes,ProteinDescriptions,ProteinNames,AVG Log2 Ratio,Absolute AVG Log2 Ratio,Pvalue,Qvalue,# Unique Total Peptides,% Change,Ratio,GO Cellular Component,GO Molecular Function,GO Biological Process,Label
Q6XPS7,Tha1,L-threonine aldolase,Q6XPS7_MOUSE,-1.730822193,1.730822193,0.007918905,0.001729416,5,-69.87197918,0.301280208,cytosol,L-allo-threonine aldolase activity,"glycine biosynthetic process,threonine catabolic process",
E9Q447,Sptan1,"Spectrin alpha chain, non-erythrocytic 1",E9Q447_MOUSE,-0.718040448,0.718040448,0.007838574,0.001715393,2,-39.20774026,0.607922597,,,,
A2AQR0;Q64521,Gpd2,"Glycerol-3-phosphate dehydrogenase;Glycerol-3-phosphate dehydrogenase, mitochondrial",A2AQR0_MOUSE;GPDM_MOUSE,-0.580160639,0.580160639,0.007777932,0.001704928,36,-33.11107054,0.668889295,";mitochondrion,mitochondrial inner membrane,glycerol-3-phosphate dehydrogenase complex",";calcium ion binding,sn-glycerol-3-phosphate:ubiquinone-8 oxidoreductase activity",";glycerol-3-phosphate metabolic process,gluconeogenesis,glycerol catabolic process,multicellular organism growth,camera-type eye development,oxidation-reduction process",
E0CZ49;F7CCK8;Q9DAT5,Trmu,Mitochondrial tRNA-specific 2-thiouridylase 1;Mitochondrial tRNA-specific 2-thiouridylase 1 (Fragment);Mitochondrial tRNA-specific 2-thiouridylase 1,E0CZ49_MOUSE;F7CCK8_MOUSE;MTU1_MOUSE,-1.163619155,1.163619155,0.007547411,0.001660555,2,-55.36086907,0.446391309,";;nucleoplasm,mitochondrion",";;tRNA binding,ATP binding,sulfurtransferase activity",";;tRNA wobble position uridine thiolation,mitochondrial tRNA thio-modification",
A2APY7,Ndufaf5,"Arginine-hydroxylase NDUFAF5, mitochondrial",NDUF5_MOUSE,-0.842875313,0.842875313,0.007301547,0.001607791,2,-44.24687072,0.557531293,"mitochondrion,extrinsic component of mitochondrial inner membrane","molecular_function,methyltransferase activity,oxidoreductase activity","peptidyl-arginine hydroxylation,methylation,mitochondrial respiratory chain complex I assembly,oxidation-reduction process",
Q76LS9;Q76LS9-2,Fam63a,Ubiquitin carboxyl-terminal hydrolase MINDY-1;Isoform 2 of Ubiquitin carboxyl-terminal hydrolase MINDY-1,FA63A_MOUSE,-0.736643016,0.736643016,0.006921094,0.001528444,4,-39.98658286,0.600134171,extracellular exosome;,"thiol-dependent ubiquitin-specific protease activity,cysteine-type carboxypeptidase activity,K48-linked polyubiquitin binding,Lys48-specific deubiquitinase activity;",protein K48-linked deubiquitination;,
Q8CI75;Q8CI75-2,Dis3l2,DIS3-like exonuclease 2;Isoform 2 of DIS3-like exonuclease 2,DI3L2_MOUSE,-0.977579014,0.977579014,0.006900119,0.001525078,4,-49.21687834,0.507831217,"exosome (RNase complex),cytoplasmic mRNA processing body,cytoplasm;","3'-5'-exoribonuclease activity,magnesium ion binding,ribonuclease activity,protein binding,poly(U) RNA binding;","mitotic cell cycle,nuclear-transcribed mRNA catabolic process, exonucleolytic,rRNA processing,negative regulation of cell proliferation,miRNA catabolic process,stem cell population maintenance,nuclear-transcribed mRNA catabolic process, exonucleolytic, 3'-5',cell division,mitotic sister chromatid separation,RNA phosphodiester bond hydrolysis, exonucleolytic,polyuridylation-dependent mRNA catabolic process;",
Q5SS90,Gm11992,Uncharacterized protein C7orf57 homolog,CG057_MOUSE,-1.14508722,1.14508722,0.006737551,0.001492247,3,-54.78376482,0.452162352,cellular_component,molecular_function,biological_process,
P11862,Gas2,Growth arrest-specific protein 2,GAS2_MOUSE,-0.633334867,0.633334867,0.006200709,0.001384296,16,-35.53155311,0.644684469,"cytoplasm,cytoskeleton,membrane",microtubule binding,"apoptotic process,cell cycle arrest,regulation of cell shape",
A2A977;O88833,Cyp4a10,Cytochrome P450 4A10,A2A977_MOUSE;CP4AA_MOUSE,-0.713480691,0.713480691,0.005935342,0.001328398,4,-39.01529734,0.609847027,";cytoplasm,endoplasmic reticulum membrane,apical plasma membrane,organelle membrane,intracellular membrane-bounded organelle,extracellular exosome",";monooxygenase activity,iron ion binding,arachidonic acid epoxygenase activity,alkane 1-monooxygenase activity,heme binding,leukotriene-B4 20-monooxygenase activity",";fatty acid metabolic process,leukotriene B4 catabolic process,oxidation-reduction process",
Q99KR8,Fuca2,Plasma alpha-L-fucosidase,FUCO2_MOUSE,-0.879726276,0.879726276,0.005551815,0.001249393,3,-45.65294653,0.543470535,"extracellular space,extracellular exosome",alpha-L-fucosidase activity,"fucose metabolic process,response to bacterium,glycoside catabolic process,regulation of entry of bacterium into host cell",
Q99JB8,Pacsin3,Protein kinase C and casein kinase II substrate protein 3,PACN3_MOUSE,-0.987830046,0.987830046,0.005503788,0.001240684,3,-49.57643754,0.504235625,"cytoplasm,endosome,cytosol,plasma membrane,extracellular exosome,trans-Golgi network","protein binding,cytoskeletal protein binding,lipid binding,calcium channel inhibitor activity","endocytosis,negative regulation of endocytosis,positive regulation of membrane protein ectodomain proteolysis,negative regulation of calcium ion transport,regulation of molecular function,membrane tubulation",
D3Z7E5;Q2NL51,Gsk3a,Glycogen synthase kinase-3 alpha,D3Z7E5_MOUSE;GSK3A_MOUSE,-0.647011425,0.647011425,0.005421209,0.001224664,3,-36.13981775,0.638601822,";mitochondrion,microtubule",";protein kinase activity,protein serine/threonine kinase activity,protein binding,ATP binding,protein kinase A catalytic subunit binding,tau-protein kinase activity",";regulation of systemic arterial blood pressure,cardiac left ventricle morphogenesis,glycogen metabolic process,regulation of gene expression by genetic imprinting,protein phosphorylation,aging,insulin receptor signaling pathway,positive regulation of peptidyl-threonine phosphorylation,Wnt signaling pathway,cell migration,positive regulation of cAMP biosynthetic process,negative regulation of TOR signaling,cellular response to insulin stimulus,positive regulation of peptidyl-serine phosphorylation,cellular response to interleukin-3,proteasome-mediated ubiquitin-dependent protein catabolic process,positive regulation of neuron apoptotic process,hypermethylation of CpG island,positive regulation of heart contraction,positive regulation of transcription from RNA polymerase II promoter,negative regulation of glucose import,negative regulation of insulin receptor signaling pathway,negative regulation of cell growth involved in cardiac muscle cell development,cellular response to lithium ion,cellular response to organic cyclic compound,positive regulation of adrenergic receptor signaling pathway,extrinsic apoptotic signaling pathway in absence of ligand,positive regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway,regulation of mitophagy,positive regulation of protein targeting to mitochondrion,negative regulation of glycogen synthase activity, transferring glucose-1-phosphate,negative regulation of dendrite development,positive regulation of glycogen (starch) synthase activity",
Q9JI39,Abcb10,"ATP-binding cassette sub-family B member 10, mitochondrial",ABCBA_MOUSE,-0.676984741,0.676984741,0.005374456,0.001216168,4,-37.45288444,0.625471156,"mitochondrion,mitochondrial inner membrane,integral component of mitochondrial membrane","transporter activity,protein binding,ATP binding,ATPase activity, coupled to transmembrane movement of substances,protein homodimerization activity",transmembrane transport,
Q5SUA5,Myo1g,Unconventional myosin-Ig,MYO1G_MOUSE,-0.87662132,0.87662132,0.005184901,0.001176276,2,-45.53585529,0.544641447,"phagocytic cup,plasma membrane,microvillus,membrane,myosin complex,lamellipodium,filopodium,leading edge membrane,extracellular exosome","motor activity,actin binding,calmodulin binding,ATP binding,phosphatidylinositol-4,5-bisphosphate binding,phosphatidylinositol-3,4,5-trisphosphate binding,phosphatidylinositol-3,4-bisphosphate binding","T cell mediated immunity,exocytosis,phagocytosis,cell-substrate adhesion,Fc-gamma receptor signaling pathway involved in phagocytosis,cell gliding,T cell migration",
Q9CXV1,Sdhd,"Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial",DHSD_MOUSE,-1.45091892,1.45091892,0.005075348,0.001154376,3,-63.4211638,0.365788362,"mitochondrion,mitochondrial inner membrane,mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone),integral component of membrane","succinate dehydrogenase activity,heme binding,metal ion binding,ubiquinone binding,succinate dehydrogenase (ubiquinone) activity","tricarboxylic acid cycle,mitochondrial electron transport, succinate to ubiquinone,regulation of catecholamine secretion,cellular response to hypoxia",
Q9EQI5,Ppbp,"Chemokine (C-X-C motif) ligand 7, isoform CRA_b",Q9EQI5_MOUSE,-1.121447244,1.121447244,0.0050487,0.001148806,2,-54.03674879,0.459632512,extracellular space,"chemokine activity,CXCR chemokine receptor binding","leukocyte migration involved in inflammatory response,immune response,G-protein coupled receptor signaling pathway,response to lipopolysaccharide,regulation of cell proliferation,cell chemotaxis,chemokine-mediated signaling pathway,positive regulation of neutrophil chemotaxis",
P17809,Slc2a1,"Solute carrier family 2, facilitated glucose transporter member 1",GTR1_MOUSE,-0.804007287,0.804007287,0.005012432,0.00114153,2,-42.72439439,0.572756056,"female pronucleus,intracellular,cytoplasm,cytosol,plasma membrane,integral component of plasma membrane,caveola,intercalated disc,membrane,basolateral plasma membrane,apical plasma membrane,Z disc,midbody,cortical actin cytoskeleton,vesicle,sarcolemma,melanosome,membrane raft,extracellular exosome,blood microparticle","glucose transmembrane transporter activity,protein binding,kinase binding,dehydroascorbic acid transporter activity,identical protein binding,xenobiotic transporter activity,protein self-association,D-glucose transmembrane transporter activity","protein complex assembly,female pregnancy,glucose transport,cerebral cortex development,response to insulin,cellular response to glucose starvation,xenobiotic transport,dehydroascorbic acid transport,cellular response to mechanical stimulus,cellular hyperosmotic response,response to Thyroglobulin triiodothyronine,glucose transmembrane transport",
A0A1D5RLL3;Q8BG67;Q8BG67-2,Efr3a,Protein EFR3 homolog A;Protein EFR3 homolog A;Isoform 2 of Protein EFR3 homolog A,A0A1D5RLL3_MOUSE;EFR3A_MOUSE;EFR3A_MOUSE,-0.657175293,0.657175293,0.004528349,0.00104064,4,-36.5881353,0.634118647,";cornified envelope,intracellular,cytosol,plasma membrane,extracellular exosome;",;protein homodimerization activity;,";protein localization to plasma membrane,cell-cell adhesion;",
Q3U816;Q9Z2G9,Htatip2,Oxidoreductase HTATIP2,Q3U816_MOUSE;HTAI2_MOUSE,-0.933974075,0.933974075,0.004466953,0.001029198,4,-47.65854535,0.523414547,";nuclear envelope,cytoplasm,cytosol,membrane",";protein serine/threonine kinase activity,oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor,NAD binding",";angiogenesis,apoptotic process,cell differentiation,positive regulation of programmed cell death,regulation of angiogenesis,positive regulation of transcription from RNA polymerase II promoter during mitosis,protein autophosphorylation,nuclear import,oxidation-reduction process",
Q9DBC0,Selo,Selenoprotein O,SELO_MOUSE,-1.056311822,1.056311822,0.004356802,0.001005125,4,-51.91402163,0.480859784,mitochondrion,molecular_function,biological_process,
J3QNT7;Q5NCM5;Q5NCM6;Q8CHU3;Q8CHU3-2,Epn2,Epsin-2;Epsin-2;Epsin-2;Epsin-2;Isoform 2 of Epsin-2,J3QNT7_MOUSE;Q5NCM5_MOUSE;Q5NCM6_MOUSE;EPN2_MOUSE;EPN2_MOUSE,-0.691740411,0.691740411,0.004308399,0.000994869,3,-38.08934667,0.619106533,";;;clathrin coat of endocytic vesicle,intracellular membrane-bounded organelle;",";;;lipid binding,cadherin binding;",";;;in utero embryonic development,endocytosis,Notch signaling pathway,embryonic organ development;",
Q3UK02;Q99N94,Mrpl9,"39S ribosomal protein L9, mitochondrial;39S ribosomal protein L9, mitochondrial",Q3UK02_MOUSE;RM09_MOUSE,-1.406030134,1.406030134,0.004125497,0.000955492,3,-62.26513899,0.37734861,";mitochondrion,mitochondrial large ribosomal subunit",";molecular_function,RNA binding,structural constituent of ribosome",";translation,biological_process",
Q8BKZ9,Pdhx,"Pyruvate dehydrogenase protein X component, mitochondrial",ODPX_MOUSE,-0.731560504,0.731560504,0.00407851,0.000946229,11,-39.77478702,0.60225213,"mitochondrion,mitochondrial matrix,pyruvate dehydrogenase complex","transferase activity, transferring acyl groups,pyruvate dehydrogenase (NAD+) activity",mitochondrial acetyl-CoA biosynthetic process from pyruvate,
P11152,Lpl,Lipoprotein lipase,LIPL_MOUSE,-1.05300598,1.05300598,0.00398289,0.000927713,3,-51.8037094,0.481962906,"extracellular space,plasma membrane,cell surface,extracellular matrix,anchored component of membrane,very-low-density lipoprotein particle,chylomicron,extracellular exosome","lipoprotein lipase activity,triglyceride lipase activity,receptor binding,protein binding,heparin binding,triglyceride binding,apolipoprotein binding","fatty acid biosynthetic process,response to cold,positive regulation of macrophage derived foam cell differentiation,positive regulation of cholesterol storage,positive regulation of sequestering of triglyceride,triglyceride biosynthetic process,triglyceride catabolic process,very-low-density lipoprotein particle remodeling,response to drug,cholesterol homeostasis,low-density lipoprotein particle mediated signaling,triglyceride homeostasis,positive regulation of chemokine secretion",
A0A0R4J081;A2AQ17;Q9CWX2,Ndufaf1,"Complex I intermediate-associated protein 30, mitochondrial;Complex I intermediate-associated protein 30, mitochondrial;Complex I intermediate-associated protein 30, mitochondrial",A0A0R4J081_MOUSE;A2AQ17_MOUSE;CIA30_MOUSE,-0.706229989,0.706229989,0.003934703,0.000917695,7,-38.7080287,0.612919713,";;mitochondrion,cytosol",;;molecular_function,;;biological_process,
Q9Z1B3;Q9Z1B3-2;Q9Z1B3-3,Plcb1,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1;Isoform B of 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1;Isoform C of 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1",PLCB1_MOUSE,-1.199593091,1.199593091,0.003877391,0.000905916,3,-56.46019327,0.435398067,"nuclear chromatin,nucleus,cytoplasm,plasma membrane,nuclear speck,nuclear membrane,myelin sheath,extracellular exosome;;","phosphatidylinositol phospholipase C activity,signal transducer activity,GTPase activator activity,calcium ion binding,protein binding,calmodulin binding,lamin binding,phosphatidylinositol-4,5-bisphosphate binding,enzyme binding,protein homodimerization activity;;","G2/M transition of mitotic cell cycle,oocyte maturation,mRNA processing,cell adhesion,signal transduction,G-protein coupled acetylcholine receptor signaling pathway,glutamate receptor signaling pathway,brain development,memory,regulation of G-protein coupled receptor protein signaling pathway,insulin receptor signaling pathway,lipid catabolic process,cerebral cortex development,erythrocyte differentiation,macrophage differentiation,positive regulation of sodium:proton antiporter activity,positive regulation of interleukin-12 production,intracellular signal transduction,interleukin-12-mediated signaling pathway,interleukin-15-mediated signaling pathway,positive regulation of embryonic development,positive regulation of GTPase activity,fat cell differentiation,positive regulation of myoblast differentiation,negative regulation of transcription, DNA-templated,positive regulation of transcription, DNA-templated,positive regulation of JNK cascade,phosphatidylinositol metabolic process,insulin-like growth factor receptor signaling pathway,positive regulation of developmental growth,regulation of insulin secretion,activation of meiosis involved in egg activation,interleukin-1-mediated signaling pathway,regulation of fertilization,positive regulation of G1/S transition of mitotic cell cycle,positive regulation of acrosome reaction,negative regulation of monocyte extravasation,positive regulation of CD24 biosynthetic process;;",
Q99JG3,Anxa13,Annexin A13,ANX13_MOUSE,-1.066610419,1.066610419,0.003856726,0.000902277,6,-52.25605839,0.477439416,"extracellular space,nucleoplasm,plasma membrane,extracellular exosome","phosphatidylserine binding,calcium ion binding,calcium-dependent phospholipid binding,phosphatidylglycerol binding",biological_process,
Q9D820;Q9D820-2,Prorsd1,Prolyl-tRNA synthetase associated domain-containing protein 1;Isoform 2 of Prolyl-tRNA synthetase associated domain-containing protein 1,PRXD1_MOUSE,-0.800897571,0.800897571,0.003837019,0.000898216,2,-42.60080419,0.573991958,cellular_component;,"aminoacyl-tRNA editing activity,molecular_function;","regulation of translational fidelity,biological_process;",
Q7TNS2,Minos1,MICOS complex subunit Mic10,MIC10_MOUSE,-1.385729127,1.385729127,0.0038235,0.000895686,3,-61.73039612,0.382696039,"mitochondrion,MICOS complex",molecular_function,biological_process,
Q9D7L8,Tmigd1,Transmembrane and immunoglobulin domain-containing protein 1,TMIG1_MOUSE,-0.729798194,0.729798194,0.003563661,0.00084074,4,-39.70117452,0.602988255,"cytoplasm,plasma membrane,integral component of membrane",molecular_function,"regulation of cell migration,regulation of cell proliferation,negative regulation of apoptotic process,regulation of membrane permeability",
Q91X91,Qprt,Nicotinate-nucleotide pyrophosphorylase [carboxylating],NADC_MOUSE,-0.73832362,0.73832362,0.003469972,0.000822649,11,-40.05645213,0.599435479,"cytoplasm,extracellular exosome","nicotinate-nucleotide diphosphorylase (carboxylating) activity,protein homodimerization activity","NAD biosynthetic process,quinolinate catabolic process,protein oligomerization",
A0A140LHU9;A0A140LI54;Q3TRM4;Q3TRM4-2;Q3TRM4-3,Pnpla6,Neuropathy target esterase;Neuropathy target esterase;Neuropathy target esterase;Isoform 2 of Neuropathy target esterase;Isoform 3 of Neuropathy target esterase,A0A140LHU9_MOUSE;A0A140LI54_MOUSE;PLPL6_MOUSE;PLPL6_MOUSE;PLPL6_MOUSE,-0.911772628,0.911772628,0.003462672,0.000821285,6,-46.84683988,0.531531601,";;endoplasmic reticulum,endoplasmic reticulum membrane,membrane,integral component of membrane;;",";;lysophospholipase activity,carboxylic ester hydrolase activity;;",";;angiogenesis,animal organ morphogenesis,lipid catabolic process,phosphatidylcholine metabolic process;;",
E0CX39;E0CZ04;Q923B0,Ggact,Gamma-glutamylaminecyclotransferase (Fragment);Gamma-glutamylaminecyclotransferase (Fragment);Gamma-glutamylaminecyclotransferase,E0CX39_MOUSE;E0CZ04_MOUSE;GGACT_MOUSE,-0.939252056,0.939252056,0.003218876,0.000767223,6,-47.8496824,0.521503176,;;extracellular exosome,;;gamma-glutamylcyclotransferase activity,;;cellular modified amino acid catabolic process,
Q8VCL2,Sco2,"Protein SCO2 homolog, mitochondrial",SCO2_MOUSE,-0.945426404,0.945426404,0.00321585,0.000766845,3,-48.07239488,0.519276051,"mitochondrion,mitochondrial inner membrane,myofibril",copper ion binding,"eye development,in utero embryonic development,muscle system process,copper ion transport,cellular copper ion homeostasis,respiratory chain complex IV assembly,response to activity,respiratory electron transport chain,cell redox homeostasis,copper ion homeostasis",
Q8VI47,Abcc2,Canalicular multispecific organic anion transporter 1,MRP2_MOUSE,-0.785610132,0.785610132,0.003147433,0.000751204,17,-41.98934285,0.580106572,"integral component of plasma membrane,cell surface,membrane,apical plasma membrane,brush border membrane,intercellular canaliculus","protein binding,ATP binding,organic anion transmembrane transporter activity,protein domain specific binding,ATPase activity, coupled to transmembrane movement of substances","drug transmembrane transport,response to oxidative stress,female pregnancy,response to heat,mercury ion transport,canalicular bile acid transport,prostaglandin transport,cellular chloride ion homeostasis,response to methotrexate,cellular response to hormone stimulus,response to estrogen,response to arsenic-containing substance,transmembrane transport,thyroid hormone transport,cellular response to lipopolysaccharide,cellular response to interleukin-1,cellular response to interleukin-6,cellular response to tumor necrosis factor,cellular response to dexamethasone stimulus,response to antineoplastic agent,benzylpenicillin metabolic process",
Q8BMF4,Dlat,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial",ODP2_MOUSE,-0.812512915,0.812512915,0.003147251,0.000751204,23,-43.06107798,0.56938922,"mitochondrion,mitochondrial pyruvate dehydrogenase complex,myelin sheath,pyruvate dehydrogenase complex","dihydrolipoyllysine-residue acetyltransferase activity,identical protein binding,pyruvate dehydrogenase (NAD+) activity","glucose metabolic process,tricarboxylic acid cycle,sleep,mitochondrial acetyl-CoA biosynthetic process from pyruvate",
Q791T5;Q791T5-2,Mtch1,Mitochondrial carrier homolog 1;Isoform 2 of Mitochondrial carrier homolog 1,MTCH1_MOUSE,-0.655487321,0.655487321,0.002993336,0.000716999,7,-36.51389918,0.634861008,"mitochondrion,mitochondrial inner membrane,membrane,integral component of membrane;",;,"transport,apoptotic process,activation of cysteine-type endopeptidase activity involved in apoptotic process,positive regulation of apoptotic process;",
Q91XU3,Pip4k2c,Phosphatidylinositol 5-phosphate 4-kinase type-2 gamma,PI42C_MOUSE,-0.749220591,0.749220591,0.00288007,0.000691737,8,-40.50751241,0.594924876,"autophagosome,membrane,extracellular exosome","ATP binding,1-phosphatidylinositol-5-phosphate 4-kinase activity,identical protein binding","regulation of autophagy,phosphatidylinositol phosphorylation,positive regulation of autophagosome assembly",
Q8VBW8,Ttc36,Tetratricopeptide repeat protein 36,TTC36_MOUSE,-1.950432255,1.950432255,0.002835054,0.000681848,4,-74.1261303,0.258738697,cellular_component,molecular_function,biological_process,
Q99P30;Q99P30-2;Q99P30-3,Nudt7,Peroxisomal coenzyme A diphosphatase NUDT7;Isoform 2 of Peroxisomal coenzyme A diphosphatase NUDT7;Isoform 3 of Peroxisomal coenzyme A diphosphatase NUDT7,NUDT7_MOUSE,-1.333519448,1.333519448,0.002802825,0.000675624,3,-60.32009292,0.396799071,peroxisome;;,"magnesium ion binding,acetyl-CoA hydrolase activity,receptor binding,manganese ion binding,snoRNA binding,m7G(5')pppN diphosphatase activity;;","nucleoside diphosphate metabolic process,coenzyme A catabolic process,acetyl-CoA catabolic process,brown fat cell differentiation;;",
Q8BU14,Sec62,Translocation protein SEC62,SEC62_MOUSE,-0.625453148,0.625453148,0.002782407,0.000671311,2,-35.17838582,0.648216142,"endoplasmic reticulum membrane,membrane,integral component of membrane","molecular_function,protein transporter activity",posttranslational protein targeting to membrane,
