Significantly Altered Protein Groups: No Diet Injured vs. Healthy Kidney Lysates,,,,,,,,,,,,,,,,,,,,
"2,226 significantly altered protein groups (|log2(FC)| ³ 0.58 & q-value ² 0.01)",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Comparison (group1/group2),Group,ProteinGroups,AVG Log2 Ratio,Absolute AVG Log2 Ratio,Pvalue,Qvalue,# of Ratios,UniProtIds,Genes,ProteinDescriptions,ProteinNames,# Unique Total Peptides,% Change,Ratio,Condition Numerator,Condition Denominator,GO Cellular Component,GO Molecular Function,GO Biological Process,Label
Injured / Non-injured,Q64737,Q64737,0.586004723,0.586004723,8.33E-05,3.06E-05,16,Q64737,Gart,Trifunctional purine biosynthetic protein adenosine-3,PUR2_MOUSE,25,50.10840113,1.501084011,Injured,Non-injured,"cytoplasm,extracellular exosome","phosphoribosylamine-glycine ligase activity,phosphoribosylformylglycinamidine cyclo-ligase activity,phosphoribosylglycinamide formyltransferase activity,ATP binding,metal ion binding","brainstem development,'de novo' IMP biosynthetic process,glycine metabolic process,purine nucleobase biosynthetic process,response to organic substance,response to inorganic substance,cerebellum development,cerebral cortex development,tetrahydrofolate biosynthetic process",
Injured / Non-injured,O88569,O88569,0.586028979,0.586028979,2.54E-07,2.54E-07,16,O88569,Hnrnpa2b1,Heterogeneous nuclear ribonucleoproteins A2/B1,ROA2_MOUSE,24,50.110925,1.50110925,Injured,Non-injured,"nucleus,nucleoplasm,spliceosomal complex,cytoplasm,membrane,intracellular ribonucleoprotein complex,extracellular exosome,catalytic step 2 spliceosome","RNA binding,mRNA 3'-UTR binding,miRNA binding,single-stranded telomeric DNA binding,pre-mRNA intronic binding,N6-methyladenosine-containing RNA binding","negative regulation of transcription from RNA polymerase II promoter,mRNA splicing, via spliceosome,mRNA processing,mRNA export from nucleus,primary miRNA processing,negative regulation of mRNA splicing, via spliceosome,RNA transport,miRNA transport",
Injured / Non-injured,Q6ZWZ6,Q6ZWZ6,0.586168813,0.586168813,7.53E-10,3.51E-09,16,Q6ZWZ6,Rps12-ps3,40S ribosomal protein S12,Q6ZWZ6_MOUSE,9,50.12547526,1.501254753,Injured,Non-injured,,,,
Injured / Non-injured,P49615,P49615,0.58638337,0.58638337,0.000784532,0.000216591,16,P49615,Cdk5,Cyclin-dependent-like kinase 5,CDK5_MOUSE,3,50.14780346,1.501478035,Injured,Non-injured,"nucleus,nucleoplasm,cytoplasm,cytosol,cytoskeleton,plasma membrane,postsynaptic density,membrane,cyclin-dependent protein kinase 5 holoenzyme complex,lamellipodium,cell junction,filopodium,axon,dendrite,growth cone,neuromuscular junction,neuronal cell body,perikaryon,postsynaptic membrane,nucleolus","p53 binding,protein kinase activity,protein serine/threonine kinase activity,cyclin-dependent protein serine/threonine kinase activity,ErbB-2 class receptor binding,protein binding,ATP binding,cytoskeletal protein binding,kinase activity,protein kinase binding,acetylcholine receptor activator activity,ErbB-3 class receptor binding,ephrin receptor binding,tau-protein kinase activity","neuron migration,synaptic transmission, dopaminergic,protein phosphorylation,intracellular protein transport,nucleocytoplasmic transport,apoptotic process,cell cycle,cell-matrix adhesion,axonogenesis,synapse assembly,skeletal muscle tissue development,blood coagulation,motor neuron axon guidance,associative learning,visual learning,Schwann cell development,phosphorylation,cell migration,peptidyl-serine phosphorylation,peptidyl-threonine phosphorylation,sensory perception of pain,telencephalon development,cerebellum development,cerebellar cortex development,cerebellar cortex formation,hippocampus development,layer formation in cerebral cortex,central nervous system neuron development,cerebral cortex development,corpus callosum development,neuron differentiation,regulation of cell migration,negative regulation of axon extension,cortical actin cytoskeleton organization,forebrain development,neuron projection development,negative regulation of protein ubiquitination,negative regulation of synaptic plasticity,positive regulation of protein binding,receptor catabolic process,synaptic transmission, glutamatergic,protein localization to synapse,response to cocaine,serine phosphorylation of STAT protein,receptor clustering,positive regulation of neuron apoptotic process,regulated exocytosis,negative regulation of cell cycle,positive regulation of protein kinase activity,negative regulation of proteolysis,negative regulation of transcription, DNA-templated,positive regulation of calcium ion-dependent exocytosis,protein autophosphorylation,negative regulation of protein export from nucleus,behavioral response to cocaine,regulation of synaptic plasticity,synaptic vesicle endocytosis,synaptic vesicle transport,rhythmic process,oligodendrocyte differentiation,dendrite morphogenesis,cell division,neuron apoptotic process,regulation of postsynaptic membrane potential,excitatory postsynaptic potential,regulation of dendritic spine morphogenesis,calcium ion import,positive regulation of protein targeting to membrane,negative regulation of neuron death,cellular response to beta-amyloid,positive regulation of receptor activity",
Injured / Non-injured,E9PYG6,E9PYG6,0.586896525,0.586896525,0.018328182,0.00370886,10,E9PYG6,Rasa1,Protein Rasa1,E9PYG6_MOUSE,2,50.20121934,1.502012193,Injured,Non-injured,"ruffle,cytoplasm,cytosol,plasma membrane,intrinsic component of the cytoplasmic side of the plasma membrane","phosphotyrosine binding,GTPase activator activity,receptor binding,protein binding,GTPase binding","negative regulation of cell-matrix adhesion,negative regulation of cell adhesion,signal transduction,regulation of actin filament polymerization,negative regulation of apoptotic process,positive regulation of GTPase activity,negative regulation of Ras protein signal transduction,ephrin receptor signaling pathway,blood vessel morphogenesis",
Injured / Non-injured,P56387,P56387,-0.587601813,0.587601813,0.000674038,0.000189129,16,P56387,Dynlt3,Dynein light chain Tctex-type 3,DYLT3_MOUSE,2,-33.45518398,0.66544816,Injured,Non-injured,"condensed chromosome kinetochore,nucleus,cytoplasmic dynein complex,mitotic spindle astral microtubule,kinetochore","motor activity,protein binding,identical protein binding","transport,cell cycle,regulation of mitotic cell cycle,positive regulation of mitotic cell cycle,cell division",
Injured / Non-injured,P47962,P47962,0.588614445,0.588614445,2.14E-06,1.44E-06,16,P47962,Rpl5,60S ribosomal protein L5,RL5_MOUSE,14,50.38018123,1.503801812,Injured,Non-injured,"nucleus,nucleoplasm,nucleolus,cytoplasm,focal adhesion,membrane,aminoacyl-tRNA synthetase multienzyme complex,cytosolic large ribosomal subunit,intracellular ribonucleoprotein complex,protein complex,extracellular exosome","RNA binding,mRNA 3'-UTR binding,structural constituent of ribosome,protein binding,5S rRNA binding,ubiquitin protein ligase binding,mRNA 5'-UTR binding,ubiquitin ligase inhibitor activity","ribosomal large subunit assembly,rRNA processing,translation,positive regulation of gene expression,positive regulation of phosphatase activity,ribosomal large subunit biogenesis,positive regulation of translation,protein stabilization,cellular response to inorganic substance,regulation of signal transduction by p53 class mediator,negative regulation of ubiquitin protein ligase activity,positive regulation of isoleucine-tRNA ligase activity,positive regulation of methionine-tRNA ligase activity,positive regulation of threonine-tRNA ligase activity,negative regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process,negative regulation of protein neddylation",
Injured / Non-injured,Q9CXD6;Q9CXD6-3,Q9CXD6;Q9CXD6-3,-0.588678049,0.588678049,0.008838003,0.001910531,16,Q9CXD6;Q9CXD6-3,Mcur1,Mitochondrial calcium uniporter regulator 1;Isoform 3 of Mitochondrial calcium uniporter regulator 1,MCUR1_MOUSE,7,-33.50480724,0.664951928,Injured,Non-injured,integral component of mitochondrial inner membrane;,molecular_function;,"mitochondrial calcium ion transport,calcium ion transmembrane import into mitochondrion,positive regulation of mitochondrial calcium ion concentration,calcium ion import;",
Injured / Non-injured,E9PUW7;Q9EPK7;Q9EPK7-2,E9PUW7;Q9EPK7;Q9EPK7-2,0.589606169,0.589606169,0.012369723,0.002593888,16,E9PUW7;Q9EPK7;Q9EPK7-2,Xpo7,Exportin-7;Exportin-7;Isoform 2 of Exportin-7,E9PUW7_MOUSE;XPO7_MOUSE;XPO7_MOUSE,6,50.48358969,1.504835897,Injured,Non-injured,";nucleus,nuclear pore,cytoplasm;",";nuclear export signal receptor activity,protein binding,Ran GTPase binding;",";protein export from nucleus,nucleocytoplasmic transport,mRNA transport;",
Injured / Non-injured,O55029,O55029,0.589869933,0.589869933,0.000136045,4.69E-05,16,O55029,Copb2,Coatomer subunit beta',COPB2_MOUSE,27,50.51110468,1.505111047,Injured,Non-injured,"Golgi membrane,Golgi apparatus,cytosol,COPI vesicle coat",structural molecule activity,"intracellular protein transport,ER to Golgi vesicle-mediated transport,retrograde vesicle-mediated transport, Golgi to ER,intra-Golgi vesicle-mediated transport,toxin transport",
Injured / Non-injured,P21278,P21278,-0.590016735,0.590016735,3.00E-05,1.28E-05,16,P21278,Gna11,Guanine nucleotide-binding protein subunit alpha-11,GNA11_MOUSE,7,-33.56647991,0.664335201,Injured,Non-injured,"lysosomal membrane,heterotrimeric G-protein complex,extracellular exosome","GTPase activity,signal transducer activity,GTP binding,G-protein beta/gamma-subunit complex binding,type 2A serotonin receptor binding,metal ion binding,alkylglycerophosphoethanolamine phosphodiesterase activity","skeletal system development,action potential,G-protein coupled receptor signaling pathway,adenylate cyclase-modulating G-protein coupled receptor signaling pathway,heart development,regulation of melanocyte differentiation,developmental pigmentation,phospholipase C-activating dopamine receptor signaling pathway,protein heterotrimerization,cellular response to pH,glutamate receptor signaling pathway",
Injured / Non-injured,P24668,P24668,0.593075239,0.593075239,9.05E-05,3.29E-05,16,P24668,M6pr,Cation-dependent mannose-6-phosphate receptor,MPRD_MOUSE,7,50.8458743,1.508458743,Injured,Non-injured,"lysosomal membrane,endosome,late endosome,trans-Golgi network,membrane,integral component of membrane,perinuclear region of cytoplasm,retromer complex","mannose binding,mannose transmembrane transporter activity,retromer complex binding","intracellular protein transport,mannose transport,secretion of lysosomal enzymes",
Injured / Non-injured,P67871,P67871,0.593530951,0.593530951,1.70E-05,7.84E-06,16,P67871,Csnk2b,Casein kinase II subunit beta,CSK2B_MOUSE,5,50.89353036,1.508935304,Injured,Non-injured,"nucleus,cytoplasm,protein kinase CK2 complex,extracellular exosome,plasma membrane,PcG protein complex","chromatin binding,protein serine/threonine kinase activity,receptor binding,protein binding,transcription factor binding,protein kinase regulator activity,protein domain specific binding,identical protein binding,metal ion binding","positive regulation of pathway-restricted SMAD protein phosphorylation,Wnt signaling pathway,peptidyl-threonine phosphorylation,positive regulation of activin receptor signaling pathway,adiponectin-activated signaling pathway,negative regulation of blood vessel endothelial cell migration,regulation of protein kinase activity,endothelial tube morphogenesis",
Injured / Non-injured,P17879,P17879,0.593586323,0.593586323,0.00014335,4.91E-05,16,P17879,Hspa1b,Heat shock 70 kDa protein 1B,HS71B_MOUSE,26,50.89932194,1.508993219,Injured,Non-injured,"zona pellucida receptor complex,intracellular,mitochondrion,mitochondrial matrix,centrosome,cell body","protein binding,ATP binding","binding of sperm to zona pellucida,response to heat,protein refolding,negative regulation of apoptotic process,negative regulation of cysteine-type endopeptidase activity involved in apoptotic process,positive regulation of microtubule nucleation,regulation of mitotic spindle assembly",
Injured / Non-injured,Q9CPU0,Q9CPU0,-0.593813688,0.593813688,0.000113461,4.00E-05,16,Q9CPU0,Glo1,Lactoylglutathione lyase,LGUL_MOUSE,14,-33.74109291,0.662589071,Injured,Non-injured,"nucleus,cytosol,plasma membrane,extracellular exosome","lactoylglutathione lyase activity,zinc ion binding","carbohydrate metabolic process,regulation of transcription from RNA polymerase II promoter,glutathione metabolic process,methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione,osteoclast differentiation,negative regulation of apoptotic process",
Injured / Non-injured,Q8C5G6;Q9QZ06,Q8C5G6;Q9QZ06,0.593852658,0.593852658,0.006382515,0.001420711,16,Q8C5G6;Q9QZ06,Tollip,Toll-interacting protein,Q8C5G6_MOUSE;TOLIP_MOUSE,3,50.92718195,1.509271819,Injured,Non-injured,";cytoplasm,nuclear body,perinuclear region of cytoplasm,extracellular exosome",";interleukin-1, Type I receptor binding,protein binding,kinase binding,ubiquitin conjugating enzyme binding,ubiquitin protein ligase binding,SUMO binding,Toll-like receptor binding,ubiquitin binding",";ubiquitin-dependent protein catabolic process,autophagy,inflammatory response,signal transduction,phosphorylation,epithelial cell differentiation,positive regulation of protein sumoylation,protein localization to endosome,innate immune response",
Injured / Non-injured,E9PY90;E9Q3S2;H3BJS0;H3BK44;H3BK48;H3BKH2;Q8R311;Q91ZV0,E9PY90;E9Q3S2;H3BJS0;H3BK44;H3BK48;H3BKH2;Q8R311;Q91ZV0,-0.594435372,0.594435372,0.011944821,0.002513704,14,E9PY90;E9Q3S2;H3BJS0;H3BK44;H3BK48;H3BKH2;Q8R311;Q91ZV0,Mia2;Mia2;Mia2;Mia2;Mia2;Mia2;Ctage5;Mia2,cTAGE family member 5;cTAGE family member 5;cTAGE family member 5;cTAGE family member 5;cTAGE family member 5;cTAGE family member 5;cTAGE family member 5;Melanoma inhibitory activity protein 2,E9PY90_MOUSE;E9Q3S2_MOUSE;H3BJS0_MOUSE;H3BK44_MOUSE;H3BK48_MOUSE;H3BKH2_MOUSE;CTGE5_MOUSE;MIA2_MOUSE,5,-33.76963897,0.66230361,Injured,Non-injured,";;;;;;endoplasmic reticulum membrane,integral component of membrane,endoplasmic reticulum exit site;endoplasmic reticulum membrane,integral component of membrane,endoplasmic reticulum exit site",";;;;;;;molecular_function,lipoprotein transporter activity",";;;;;;ER to Golgi vesicle-mediated transport,protein exit from endoplasmic reticulum,cargo loading into vesicle,protein localization to endoplasmic reticulum exit site;cholesterol homeostasis,lipoprotein transport,triglyceride homeostasis",
Injured / Non-injured,F7A8H6;O70325;O70325-2;S4R1E5,F7A8H6;O70325;O70325-2;S4R1E5,-0.595387343,0.595387343,7.05E-07,5.92E-07,16,F7A8H6;O70325;O70325-2;S4R1E5,Gpx4,"Glutathione peroxidase;Phospholipid hydroperoxide glutathione peroxidase, mitochondrial;Isoform Cytoplasmic of Phospholipid hydroperoxide glutathione peroxidase, mitochondrial;Glutathione peroxidase",F7A8H6_MOUSE;GPX41_MOUSE;GPX41_MOUSE;S4R1E5_MOUSE,10,-33.81332705,0.66186673,Injured,Non-injured,;;;,;;;,;;;,
Injured / Non-injured,P61222,P61222,0.596053514,0.596053514,6.51E-07,5.50E-07,16,P61222,Abce1,ATP-binding cassette sub-family E member 1,ABCE1_MOUSE,15,51.15759963,1.511575996,Injured,Non-injured,"cytoplasm,mitochondrion,cytosol,membrane,eukaryotic translation initiation factor 3 complex","iron ion binding,ATP binding,ATPase activity,ribosomal small subunit binding,endoribonuclease inhibitor activity","ribosomal subunit export from nucleus,translational initiation,translational termination,negative regulation of endoribonuclease activity",
Injured / Non-injured,P10711,P10711,0.596310481,0.596310481,6.21E-05,2.39E-05,16,P10711,Tcea1,Transcription elongation factor A protein 1,TCEA1_MOUSE,9,51.18452566,1.511845257,Injured,Non-injured,"nucleus,nucleoplasm,transcription factor TFIID complex,nucleolus","DNA binding,protein binding,zinc ion binding","transcription, DNA-templated,erythrocyte differentiation,positive regulation of transcription, DNA-templated,positive regulation of transcription from RNA polymerase II promoter",
Injured / Non-injured,E9PWK1;Q9D379,E9PWK1;Q9D379,0.596431031,0.596431031,0.001988047,0.000497479,16,E9PWK1;Q9D379,Ephx1,Epoxide hydrolase 1,E9PWK1_MOUSE;HYEP_MOUSE,10,51.19715894,1.511971589,Injured,Non-injured,";endoplasmic reticulum membrane,plasma membrane,integral component of membrane,organelle membrane",";epoxide hydrolase activity,enzyme binding,cis-stilbene-oxide hydrolase activity",";liver development,cellular aromatic compound metabolic process,response to toxic substance,response to organic cyclic compound,aromatic compound catabolic process,diol biosynthetic process,cellular response to glucocorticoid stimulus,epoxide metabolic process",
Injured / Non-injured,P62267,P62267,0.59664645,0.59664645,0.000586635,0.0001677,16,P62267,Rps23,40S ribosomal protein S23,RS23_MOUSE,6,51.21973696,1.51219737,Injured,Non-injured,"membrane,cytosolic small ribosomal subunit","RNA binding,structural constituent of ribosome","translation,protein hydroxylation,maintenance of translational fidelity",
Injured / Non-injured,P83870,P83870,0.596808772,0.596808772,0.02062829,0.00411483,16,P83870,Phf5a,PHD finger-like domain-containing protein 5A,PHF5A_MOUSE,3,51.23675212,1.512367521,Injured,Non-injured,"U2 snRNP,U12-type spliceosomal complex,nuclear matrix,nuclear speck,precatalytic spliceosome,catalytic step 2 spliceosome,nucleolus","DNA binding,transcription factor activity, sequence-specific DNA binding,RNA binding,protein binding","mRNA splicing, via spliceosome,transcription, DNA-templated,positive regulation of transcription, DNA-templated",
Injured / Non-injured,Q8BTZ7,Q8BTZ7,0.597013385,0.597013385,0.020198474,0.00403666,16,Q8BTZ7,Gmppb,Mannose-1-phosphate guanyltransferase beta,GMPPB_MOUSE,9,51.25820302,1.51258203,Injured,Non-injured,"cytoplasm,mitochondrion,extracellular exosome","mannose-1-phosphate guanylyltransferase activity,GTP binding",GDP-mannose biosynthetic process,
Injured / Non-injured,Q9CZG9,Q9CZG9,-0.597486793,0.597486793,0.000187387,6.22E-05,16,Q9CZG9,Pdzd11,PDZ domain-containing protein 11,PDZ11_MOUSE,2,-33.9095737,0.660904263,Injured,Non-injured,"cytosol,cell-cell junction,basolateral plasma membrane,synapse,presynapse",protein C-terminus binding,"neurotransmitter secretion,maintenance of epithelial cell apical/basal polarity,protein localization to basolateral plasma membrane",
Injured / Non-injured,E9Q0U7;Q61699;Q61699-2,E9Q0U7;Q61699;Q61699-2,-0.597916713,0.597916713,4.61E-05,1.85E-05,16,E9Q0U7;Q61699;Q61699-2,Hsph1,Heat shock protein 105 kDa;Heat shock protein 105 kDa;Isoform HSP105-beta of Heat shock protein 105 kDa,E9Q0U7_MOUSE;HS105_MOUSE;HS105_MOUSE,28,-33.92926557,0.660707344,Injured,Non-injured,";extracellular region,nucleus,nucleoplasm,cytoplasm,cytosol,protein complex,extracellular exosome,microtubule;",";adenyl-nucleotide exchange factor activity,protein binding,ATP binding,alpha-tubulin binding;",";receptor-mediated endocytosis,response to unfolded protein,negative regulation of neuron apoptotic process,positive regulation of MHC class I biosynthetic process,positive regulation of transcription from RNA polymerase II promoter,chaperone mediated protein folding requiring cofactor,positive regulation of NK T cell activation,positive regulation of protein tyrosine kinase activity,regulation of microtubule cytoskeleton organization,negative regulation of establishment of protein localization to mitochondrion,negative regulation of intrinsic apoptotic signaling pathway in response to hydrogen peroxide,negative regulation of p38MAPK cascade,negative regulation of apoptotic signaling pathway;",
Injured / Non-injured,O88958,O88958,-0.598629487,0.598629487,1.44E-08,2.82E-08,16,O88958,Gnpda1,Glucosamine-6-phosphate isomerase 1,GNPI1_MOUSE,12,-33.96190023,0.660380998,Injured,Non-injured,"cytoplasm,extracellular exosome",glucosamine-6-phosphate deaminase activity,"fructose 6-phosphate metabolic process,glucosamine metabolic process,glucosamine catabolic process,N-acetylglucosamine metabolic process,generation of precursor metabolites and energy,acrosome reaction,fructose biosynthetic process",
Injured / Non-injured,Q64378,Q64378,0.599645979,0.599645979,1.85E-06,1.27E-06,16,Q64378,Fkbp5,Peptidyl-prolyl cis-trans isomerase FKBP5,FKBP5_MOUSE,13,51.53446725,1.515344673,Injured,Non-injured,"nucleoplasm,cytoplasm,membrane,extracellular exosome","peptidyl-prolyl cis-trans isomerase activity,protein binding,FK506 binding,heat shock protein binding","protein peptidyl-prolyl isomerization,chaperone-mediated protein folding",
Injured / Non-injured,Q3UM45,Q3UM45,0.600608433,0.600608433,0.000372885,0.000112841,16,Q3UM45,Ppp1r7,Protein phosphatase 1 regulatory subunit 7,PP1R7_MOUSE,13,51.63559298,1.51635593,Injured,Non-injured,"nucleus,chromosome,extracellular exosome",,"chromosome segregation,positive regulation of protein dephosphorylation",
Injured / Non-injured,A2BDX2;O70152,A2BDX2;O70152,0.601640359,0.601640359,3.00E-05,1.28E-05,16,A2BDX2;O70152,Dpm1,Dolichol-phosphate mannosyltransferase subunit 1,A2BDX2_MOUSE;DPM1_MOUSE,7,51.74409319,1.517440932,Injured,Non-injured,";nucleus,endoplasmic reticulum,endoplasmic reticulum membrane,membrane,dolichol-phosphate-mannose synthase complex",";dolichyl-phosphate-mannose-protein mannosyltransferase activity,dolichyl-phosphate beta-D-mannosyltransferase activity",";GPI anchor biosynthetic process,dolichol metabolic process,protein mannosylation,protein O-linked mannosylation",
